name,category,subCategory,sp,mrp,weight,badge,stock
Taj Super Basmati Rice,rice,Super Basmati,1250,1400,5 kg,Best Seller,true
Taj Super Basmati Rice,rice,Super Basmati,2450,2700,10 kg,,true
Taj Super Basmati Rice,rice,Super Basmati,5900,6500,25 kg,Value Pack,true
Taj Sella Basmati Rice,rice,Sella Basmati,1100,1250,5 kg,,true
Taj Sella Basmati Rice,rice,Sella Basmati,2100,2400,10 kg,,true
Taj Kainat Rice,rice,Kainat,950,1100,5 kg,,true
Taj Kainat Rice,rice,Kainat,1850,2100,10 kg,,true
Taj Parboiled Rice,rice,Parboiled,850,1000,5 kg,New,true
Taj Broken Rice,rice,Broken Rice,480,600,5 kg,,true
Moong Dal Split,commodities,Pulses,320,380,1 kg,,true
Masoor Dal Red Lentil,commodities,Pulses,280,340,1 kg,,true
Chana Dal,commodities,Pulses,260,320,1 kg,,true
Urad Dal,commodities,Pulses,350,420,1 kg,,true
Wheat Flour Atta,commodities,Flour,520,600,5 kg,Popular,true
Maida All Purpose Flour,commodities,Flour,140,180,1 kg,,true
Besan Gram Flour,commodities,Flour,200,250,1 kg,,true
Red Kidney Beans,commodities,Beans,280,340,1 kg,,true
White Chickpeas Kabuli,commodities,Beans,240,300,1 kg,Popular,true
Black Eye Beans,commodities,Beans,220,280,1 kg,,true
Mung Beans Whole,commodities,Beans,300,360,1 kg,,true
Corn Flour,commodities,Grains,120,160,500 g,,true
Canola Cooking Oil,oil-ghee,Cooking Oil,380,440,1 ltr,,true
Canola Cooking Oil,oil-ghee,Cooking Oil,1750,1950,5 ltr,Value Pack,true
Sunflower Oil,oil-ghee,Cooking Oil,420,480,1 ltr,,true
Sunflower Oil,oil-ghee,Cooking Oil,1950,2200,5 ltr,,true
Corn Oil,oil-ghee,Cooking Oil,460,520,1 ltr,,true
Vegetable Ghee Banaspati,oil-ghee,Vegetable Ghee,520,600,1 kg,,true
Vegetable Ghee Banaspati,oil-ghee,Vegetable Ghee,1250,1450,2.5 kg,,true
Pure Desi Ghee,oil-ghee,Desi Ghee,680,780,500 g,Premium,true
Pure Desi Ghee,oil-ghee,Desi Ghee,1300,1500,1 kg,,true
Extra Virgin Olive Oil,oil-ghee,Olive Oil,950,1100,500 ml,,true
Olive Oil Pomace,oil-ghee,Olive Oil,750,880,1 ltr,,true
Biryani Masala Mix,masala,Recipe Mixes,85,100,50 g,Top Pick,true
Karahi Masala Mix,masala,Recipe Mixes,80,95,50 g,,true
Nihari Masala Mix,masala,Recipe Mixes,85,100,50 g,,true
Chicken Tikka Masala,masala,Recipe Mixes,75,90,50 g,,true
Haleem Masala Mix,masala,Recipe Mixes,120,140,100 g,,true
Qorma Masala,masala,Recipe Mixes,80,95,50 g,,true
Garam Masala Whole,masala,Garam Masala,180,220,100 g,,true
Garam Masala Powder,masala,Garam Masala,150,185,100 g,,true
Red Chilli Powder,masala,Single Spices,120,150,200 g,,true
Turmeric Powder,masala,Single Spices,100,130,200 g,,true
Coriander Powder,masala,Single Spices,110,140,200 g,,true
Himalayan Pink Salt,masala,Salt & Pepper,160,200,800 g,,true
Tapal Danedar Tea,tea-coffee,Black Tea,480,560,450 g,Popular,true
Lipton Yellow Label,tea-coffee,Black Tea,380,450,200 g,,true
Supreme Tea,tea-coffee,Black Tea,820,950,800 g,,true
Brooke Bond Tea,tea-coffee,Black Tea,350,420,190 g,,true
